Riņķa laukums, atkarībā no intervālu skaita:
  n       S    RK(%)
  2    3.73    19
 22    3.22     3
 42    3.18     1
 62    3.17     1
 82    3.16     1
102    3.16     1
122    3.16     0
142    3.15     0
162    3.15     0
182    3.15     0
202    3.15     0
222    3.15     0
242    3.15     0
262    3.15     0
282    3.15     0
